;PC Software:StarLab Version 2.10 Build 25
;Logged:20/01/2022 at 21:47:17
;File Version:3
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Thermopile 50150A-BB-26 (s/n:769709)  VG2.54 (s/n:655842)
;Channel B:Vega Thermopile 50150A-BB-26 (s/n:946333)  VG2.52 (s/n:943046)

;Channel A:Details
;Name:50150A-BB-26
;Graph Color:RGB(0,102,255)
;Units:W
;Settings:Measuring:Power
;Settings:Laser:.8-6
;Settings:Range:AUTO

;Channel B:Details
;Name:50150A-BB-26
;Graph Color:RGB(154,0,0)
;Units:W
;Settings:Measuring:Power
;Settings:Laser:.8-6
;Settings:Range:AUTO
;--------------------


;First Pulse Arrived : 20/01/2022 at 21:47:17.436000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	             	  4.016e+000 	
         0.038	  1.230e-001 	             	
         0.064	             	  4.019e+000 	
         0.102	  1.230e-001 	             	
         0.128	             	  4.023e+000 	
         0.166	  1.220e-001 	             	
         0.192	             	  4.026e+000 	
         0.231	  1.210e-001 	             	
         0.256	             	  4.029e+000 	
         0.294	  1.200e-001 	             	
         0.320	             	  4.033e+000 	
         0.358	  1.180e-001 	             	
         0.416	             	  4.036e+000 	
         0.422	  1.170e-001 	             	
         0.480	             	  4.039e+000 	
         0.486	  1.150e-001 	             	
         0.544	             	  4.042e+000 	
         0.550	  1.130e-001 	             	
         0.608	             	  4.045e+000 	
         0.614	  1.110e-001 	             	
         0.672	             	  4.049e+000 	
         0.710	  1.090e-001 	             	
         0.736	             	  4.052e+000 	
         0.774	  1.080e-001 	             	
         0.800	             	  4.056e+000 	
         0.838	  1.060e-001 	             	
         0.864	             	  4.060e+000 	
         0.902	  1.040e-001 	             	
         0.928	             	  4.063e+000 	
         0.966	  1.030e-001 	             	
         0.992	             	  4.066e+000 	
         1.030	  1.020e-001 	             	
         1.055	             	  4.069e+000 	
         1.094	  1.010e-001 	             	
         1.120	             	  4.071e+000 	
         1.158	  1.000e-001 	             	
         1.216	             	  4.073e+000 	
         1.223	  9.900e-002 	             	
         1.280	             	  4.075e+000 	
         1.286	  9.800e-002 	             	
         1.343	             	  4.076e+000 	
         1.351	  9.700e-002 	             	
         1.408	             	  4.078e+000 	
         1.414	  9.600e-002 	             	
         1.472	             	  4.079e+000 	
         1.510	  9.500e-002 	             	
         1.535	             	  4.080e+000 	
         1.574	  9.400e-002 	             	
         1.600	             	  4.081e+000 	
         1.638	  9.400e-002 	             	
         1.663	             	  4.083e+000 	
         1.702	  9.400e-002 	             	
         1.728	             	  4.084e+000 	
         1.766	  9.400e-002 	             	
         1.791	             	  4.086e+000 	
         1.830	  9.300e-002 	             	
         1.856	             	  4.088e+000 	
         1.894	  9.200e-002 	             	
         1.920	             	  4.090e+000 	
         1.958	  9.000e-002 	             	
         2.015	             	  4.092e+000 	
         2.022	  8.900e-002 	             	
         2.080	             	  4.094e+000 	
         2.086	  8.700e-002 	             	
         2.143	             	  4.097e+000 	
         2.150	  8.600e-002 	             	
         2.207	             	  4.098e+000 	
         2.214	  8.500e-002 	             	
         2.271	             	  4.096e+000 	
         2.310	  8.500e-002 	             	
         2.335	             	  4.088e+000 	
         2.374	  8.700e-002 	             	
         2.400	             	  4.073e+000 	
         2.438	  9.100e-002 	             	
         2.463	             	  4.052e+000 	
         2.502	  9.700e-002 	             	
         2.528	             	  4.027e+000 	
         2.566	  1.040e-001 	             	
         2.591	             	  3.999e+000 	
         2.630	  1.120e-001 	             	
         2.655	             	  3.970e+000 	
         2.694	  1.220e-001 	             	
         2.720	             	  3.941e+000 	
         2.758	  1.320e-001 	             	
         2.815	             	  3.914e+000 	
         2.822	  1.430e-001 	             	
         2.879	             	  3.891e+000 	
         2.886	  1.530e-001 	             	
         2.943	             	  3.871e+000 	
         2.950	  1.630e-001 	             	
         3.007	             	  3.854e+000 	
