;PC Software:StarLab Version 2.10 Build 25
;Logged:13/09/2022 at 14:57:51
;File Version:3
;Graph Type:Line
;Notes:                                                            

;Channel A:Nova II Photodiode PD300-3W-v1 (s/n:763106)  NN2.52 (s/n:767396)
;Channel B:Vega Thermopile 10A-V1.1 (s/n:693380)  VG2.44 (s/n:858327)

;Channel A:Details
;Name:PD300-3W-v1
;Graph Color:RGB(0,102,255)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:1064
;Settings:Range:AUTO
;Settings:Filter:IN

;Channel B:Details
;Name:10A-V1.1
;Graph Color:RGB(154,0,0)
;Units:W
;Settings:Measuring:Power
;Settings:Laser:<.8u
;Settings:Range:AUTO
;--------------------


;First Pulse Arrived : 13/09/2022 at 14:57:51.373000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  0.000e+000 	             	
         0.016	             	 -4.000e-004 	
         0.064	  0.000e+000 	             	
         0.080	             	 -4.000e-004 	
         0.128	  0.000e+000 	             	
         0.144	             	 -3.000e-004 	
         0.192	  0.000e+000 	             	
         0.208	             	 -3.000e-004 	
         0.256	  0.000e+000 	             	
         0.304	             	 -4.000e-004 	
         0.320	  0.000e+000 	             	
         0.368	             	 -4.000e-004 	
         0.384	  0.000e+000 	             	
         0.432	             	 -4.000e-004 	
         0.448	  0.000e+000 	             	
         0.496	             	 -4.000e-004 	
         0.544	  0.000e+000 	             	
         0.560	             	 -4.000e-004 	
         0.608	  0.000e+000 	             	
         0.624	             	 -4.000e-004 	
         0.672	  0.000e+000 	             	
         0.688	             	 -4.000e-004 	
         0.736	  0.000e+000 	             	
         0.752	             	 -4.000e-004 	
         0.800	  0.000e+000 	             	
         0.816	             	 -4.000e-004 	
         0.864	  0.000e+000 	             	
         0.880	             	 -4.000e-004 	
         0.928	  0.000e+000 	             	
         0.944	             	 -5.000e-004 	
         0.992	  0.000e+000 	             	
         1.040	             	 -4.000e-004 	
         1.056	  0.000e+000 	             	
         1.104	             	 -4.000e-004 	
         1.120	  0.000e+000 	             	
         1.168	             	 -4.000e-004 	
         1.184	  0.000e+000 	             	
         1.232	             	 -4.000e-004 	
         1.248	  0.000e+000 	             	
         1.296	             	 -5.000e-004 	
         1.344	  0.000e+000 	             	
         1.360	             	 -5.000e-004 	
         1.408	  0.000e+000 	             	
         1.424	             	 -4.000e-004 	
         1.472	  0.000e+000 	             	
         1.488	             	 -5.000e-004 	
         1.536	  0.000e+000 	             	
         1.552	             	 -5.000e-004 	
         1.600	  0.000e+000 	             	
         1.616	             	 -4.000e-004 	
         1.664	  0.000e+000 	             	
         1.680	             	 -4.000e-004 	
         1.728	  0.000e+000 	             	
         1.744	             	 -4.000e-004 	
         1.792	  0.000e+000 	             	
         1.808	             	 -4.000e-004 	
         1.856	  0.000e+000 	             	
         1.904	             	 -5.000e-004 	
         1.920	  0.000e+000 	             	
         1.968	             	 -5.000e-004 	
         1.984	  0.000e+000 	             	
         2.032	             	 -5.000e-004 	
         2.048	  0.000e+000 	             	
         2.096	             	 -5.000e-004 	
         2.144	  0.000e+000 	             	
         2.160	             	 -5.000e-004 	
         2.208	  0.000e+000 	             	
         2.224	             	 -5.000e-004 	
         2.272	  0.000e+000 	             	
         2.288	             	 -5.000e-004 	
         2.336	  0.000e+000 	             	
         2.352	             	 -5.000e-004 	
         2.400	  0.000e+000 	             	
         2.416	             	 -4.000e-004 	
         2.464	  0.000e+000 	             	
         2.480	             	 -4.000e-004 	
         2.528	  0.000e+000 	             	
         2.544	             	 -4.000e-004 	
         2.592	  0.000e+000 	             	
         2.608	             	 -4.000e-004 	
         2.656	  0.000e+000 	             	
         2.704	             	 -3.000e-004 	
         2.720	  0.000e+000 	             	
         2.768	             	 -3.000e-004 	
         2.784	  0.000e+000 	             	
         2.832	             	 -3.000e-004 	
         2.848	  0.000e+000 	             	
         2.896	             	 -4.000e-004 	
         2.944	  0.000e+000 	             	
         2.960	             	 -5.000e-004 	
         3.008	  0.000e+000 	             	
         3.024	             	 -5.000e-004 	
         3.072	  0.000e+000 	             	
         3.088	             	 -5.000e-004 	
         3.136	  0.000e+000 	             	
         3.152	             	 -5.000e-004 	
         3.200	  0.000e+000 	             	
         3.216	             	 -5.000e-004 	
         3.264	  0.000e+000 	             	
         3.280	             	 -5.000e-004 	
         3.328	  0.000e+000 	             	
         3.344	             	 -4.000e-004 	
         3.392	  0.000e+000 	             	
         3.408	             	 -3.000e-004 	
         3.456	  0.000e+000 	             	
         3.504	             	 -4.000e-004 	
         3.520	  0.000e+000 	             	
         3.568	             	 -4.000e-004 	
         3.584	  0.000e+000 	             	
         3.632	             	 -4.000e-004 	
         3.648	  0.000e+000 	             	
         3.696	             	 -4.000e-004 	
         3.744	  0.000e+000 	             	
         3.760	             	 -4.000e-004 	
         3.808	  0.000e+000 	             	
         3.824	             	 -4.000e-004 	
         3.872	  0.000e+000 	             	
         3.888	             	 -4.000e-004 	
         3.936	  0.000e+000 	             	
         3.952	             	 -5.000e-004 	
         4.000	  0.000e+000 	             	
         4.016	             	 -5.000e-004 	
         4.064	  0.000e+000 	             	
         4.080	             	 -5.000e-004 	
         4.128	  0.000e+000 	             	
         4.144	             	 -5.000e-004 	
         4.192	  0.000e+000 	             	
         4.208	             	 -5.000e-004 	
         4.256	  0.000e+000 	             	
         4.304	             	 -5.000e-004 	
         4.320	  0.000e+000 	             	
         4.368	             	 -5.000e-004 	
         4.384	  0.000e+000 	             	
         4.432	             	 -5.000e-004 	
         4.448	  0.000e+000 	             	
         4.496	             	 -5.000e-004 	
         4.544	  0.000e+000 	             	
         4.560	             	 -5.000e-004 	
         4.608	  0.000e+000 	             	
         4.624	             	 -6.000e-004 	
         4.672	  0.000e+000 	             	
         4.688	             	 -6.000e-004 	
         4.736	  0.000e+000 	             	
         4.752	             	 -5.000e-004 	
         4.800	  0.000e+000 	             	
         4.816	             	 -5.000e-004 	
         4.864	  0.000e+000 	             	
         4.880	             	 -4.000e-004 	
         4.928	  0.000e+000 	             	
         4.944	             	 -4.000e-004 	
         4.992	  0.000e+000 	             	
         5.008	             	 -4.000e-004 	
         5.056	  0.000e+000 	             	
         5.104	             	 -5.000e-004 	
         5.120	  0.000e+000 	             	
         5.168	             	 -5.000e-004 	
         5.184	  0.000e+000 	             	
         5.232	             	 -4.000e-004 	
         5.248	  0.000e+000 	             	
         5.296	             	 -3.000e-004 	
         5.344	  0.000e+000 	             	
         5.360	             	 -3.000e-004 	
         5.408	  0.000e+000 	             	
         5.424	             	 -3.000e-004 	
         5.472	  0.000e+000 	             	
         5.488	             	 -3.000e-004 	
         5.536	  0.000e+000 	             	
         5.552	             	 -3.000e-004 	
         5.600	  0.000e+000 	             	
         5.616	             	 -4.000e-004 	
         5.664	  0.000e+000 	             	
         5.680	             	 -4.000e-004 	
         5.728	  0.000e+000 	             	
         5.744	             	 -5.000e-004 	
         5.792	  0.000e+000 	             	
         5.808	             	 -5.000e-004 	
         5.856	  0.000e+000 	             	
         5.904	             	 -5.000e-004 	
         5.920	  0.000e+000 	             	
         5.968	             	 -5.000e-004 	
         5.984	  0.000e+000 	             	
         6.032	             	 -5.000e-004 	
         6.048	  0.000e+000 	             	
         6.096	             	 -4.000e-004 	
         6.144	  0.000e+000 	             	
         6.160	             	 -4.000e-004 	
         6.208	  0.000e+000 	             	
         6.224	             	 -4.000e-004 	
         6.272	  0.000e+000 	             	
         6.288	             	 -4.000e-004 	
         6.336	  0.000e+000 	             	
         6.352	             	 -4.000e-004 	
         6.400	  0.000e+000 	             	
         6.416	             	 -5.000e-004 	
         6.464	  0.000e+000 	             	
         6.480	             	 -5.000e-004 	
         6.528	  0.000e+000 	             	
         6.544	             	 -5.000e-004 	
         6.592	  0.000e+000 	             	
         6.608	             	 -5.000e-004 	
         6.656	  0.000e+000 	             	
         6.704	             	 -5.000e-004 	
         6.720	  0.000e+000 	             	
         6.768	             	 -4.000e-004 	
         6.784	  0.000e+000 	             	
         6.832	             	 -4.000e-004 	
         6.848	  0.000e+000 	             	
         6.896	             	 -4.000e-004 	
         6.944	  0.000e+000 	             	
         6.960	             	 -4.000e-004 	
         7.008	  0.000e+000 	             	
         7.024	             	 -4.000e-004 	
         7.072	  0.000e+000 	             	
         7.088	             	 -5.000e-004 	
         7.136	  0.000e+000 	             	
         7.152	             	 -5.000e-004 	
         7.200	  0.000e+000 	             	
         7.216	             	 -4.000e-004 	
         7.264	  0.000e+000 	             	
         7.280	             	 -3.000e-004 	
         7.328	  0.000e+000 	             	
         7.344	             	 -4.000e-004 	
         7.392	  0.000e+000 	             	
         7.408	             	 -5.000e-004 	
         7.456	  0.000e+000 	             	
         7.504	             	 -5.000e-004 	
         7.520	  0.000e+000 	             	
         7.568	             	 -6.000e-004 	
         7.584	  0.000e+000 	             	
         7.632	             	 -6.000e-004 	
         7.649	  0.000e+000 	             	
         7.696	             	 -6.000e-004 	
         7.744	  0.000e+000 	             	
         7.760	             	 -5.000e-004 	
         7.808	  0.000e+000 	             	
         7.824	             	 -4.000e-004 	
         7.872	  0.000e+000 	             	
         7.888	             	 -5.000e-004 	
         7.936	  0.000e+000 	             	
         7.952	             	 -5.000e-004 	
         8.000	  0.000e+000 	             	
         8.016	             	 -6.000e-004 	
         8.064	  0.000e+000 	             	
         8.080	             	 -6.000e-004 	
         8.128	  0.000e+000 	             	
         8.144	             	 -6.000e-004 	
         8.192	  0.000e+000 	             	
         8.208	             	 -6.000e-004 	
         8.256	  0.000e+000 	             	
         8.304	             	 -6.000e-004 	
         8.320	  0.000e+000 	             	
         8.368	             	 -5.000e-004 	
         8.384	  0.000e+000 	             	
         8.432	             	 -5.000e-004 	
         8.448	  0.000e+000 	             	
         8.496	             	 -5.000e-004 	
         8.544	  0.000e+000 	             	
         8.560	             	 -5.000e-004 	
         8.608	  0.000e+000 	             	
         8.624	             	 -5.000e-004 	
         8.672	  0.000e+000 	             	
         8.688	             	 -6.000e-004 	
         8.736	  0.000e+000 	             	
         8.752	             	 -6.000e-004 	
         8.800	  0.000e+000 	             	
