;PC Software:StarLab Version 2.10 Build 25
;Logged:20/09/2022 at 17:14:11
;File Version:3
;Graph Type:Line
;Notes:                                                            

;Channel A:Nova II Photodiode PD300-3W-v1 (s/n:763106)  NN2.52 (s/n:767396)
;Channel B:Vega Thermopile 10A-V1.1 (s/n:693380)  VG2.44 (s/n:858327)

;Channel A:Details
;Name:PD300-3W-v1
;Graph Color:RGB(0,102,255)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:1064
;Settings:Range:AUTO
;Settings:Filter:IN

;Channel B:Details
;Name:10A-V1.1
;Graph Color:RGB(154,0,0)
;Units:W
;Settings:Measuring:Power
;Settings:Laser:.8-6
;Settings:Range:AUTO
;--------------------


;First Pulse Arrived : 20/09/2022 at 17:14:11.452000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	             	  3.525e-001 	
         0.029	  9.650e-003 	             	
         0.064	             	  3.525e-001 	
         0.093	  9.620e-003 	             	
         0.128	             	  3.525e-001 	
         0.157	  9.670e-003 	             	
         0.192	             	  3.524e-001 	
         0.221	  9.640e-003 	             	
         0.285	  9.660e-003 	             	
         0.288	             	  3.524e-001 	
         0.349	  9.670e-003 	             	
         0.352	             	  3.524e-001 	
         0.413	  9.640e-003 	             	
         0.418	             	  3.524e-001 	
         0.477	  9.610e-003 	             	
         0.480	             	  3.524e-001 	
         0.541	  9.610e-003 	             	
         0.544	             	  3.524e-001 	
         0.605	  9.660e-003 	             	
         0.608	             	  3.524e-001 	
         0.669	  9.650e-003 	             	
         0.672	             	  3.524e-001 	
         0.733	  9.650e-003 	             	
         0.736	             	  3.524e-001 	
         0.800	             	  3.524e-001 	
         0.829	  9.620e-003 	             	
         0.864	             	  3.524e-001 	
         0.893	  9.640e-003 	             	
         0.928	             	  3.525e-001 	
         0.957	  9.650e-003 	             	
         0.992	             	  3.526e-001 	
         1.021	  9.690e-003 	             	
         1.056	             	  3.526e-001 	
         1.085	  9.630e-003 	             	
         1.149	  9.630e-003 	             	
         1.152	             	  3.526e-001 	
         1.213	  9.640e-003 	             	
         1.216	             	  3.526e-001 	
         1.277	  9.620e-003 	             	
         1.280	             	  3.525e-001 	
         1.341	  9.650e-003 	             	
         1.344	             	  3.525e-001 	
         1.405	  9.650e-003 	             	
         1.408	             	  3.525e-001 	
         1.469	  9.640e-003 	             	
         1.472	             	  3.525e-001 	
         1.533	  9.640e-003 	             	
         1.536	             	  3.526e-001 	
         1.600	             	  3.525e-001 	
         1.629	  9.640e-003 	             	
         1.664	             	  3.525e-001 	
         1.693	  9.610e-003 	             	
         1.728	             	  3.524e-001 	
         1.757	  9.660e-003 	             	
         1.792	             	  3.524e-001 	
         1.821	  9.640e-003 	             	
         1.856	             	  3.523e-001 	
         1.885	  9.620e-003 	             	
         1.949	  9.610e-003 	             	
         1.952	             	  3.522e-001 	
         2.013	  9.640e-003 	             	
         2.016	             	  3.522e-001 	
         2.077	  9.640e-003 	             	
         2.080	             	  3.522e-001 	
         2.141	  9.620e-003 	             	
         2.143	             	  3.522e-001 	
         2.205	  9.610e-003 	             	
         2.208	             	  3.523e-001 	
         2.269	  9.660e-003 	             	
         2.271	             	  3.523e-001 	
         2.333	  9.620e-003 	             	
         2.336	             	  3.524e-001 	
         2.399	             	  3.525e-001 	
         2.429	  9.630e-003 	             	
         2.463	             	  3.524e-001 	
         2.493	  9.660e-003 	             	
