;PC Software:StarLab Version 2.10 Build 25
;Logged:23/09/2022 at 16:51:35
;File Version:3
;Graph Type:Line
;Notes:                                                            

;Channel A:Nova II Photodiode PD300-3W-v1 (s/n:763106)  NN2.52 (s/n:767396)
;Channel B:Vega Thermopile 10A-V1.1 (s/n:693380)  VG2.44 (s/n:858327)

;Channel A:Details
;Name:PD300-3W-v1
;Graph Color:RGB(0,102,255)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:1064
;Settings:Range:AUTO
;Settings:Filter:IN

;Channel B:Details
;Name:10A-V1.1
;Graph Color:RGB(154,0,0)
;Units:W
;Settings:Measuring:Power
;Settings:Laser:.8-6
;Settings:Range:5.00W
;--------------------


;First Pulse Arrived : 23/09/2022 at 16:51:35.993000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	             	  5.070e-001 	
         0.009	  3.010e-003 	             	
         0.064	             	  5.080e-001 	
         0.073	  3.000e-003 	             	
         0.128	             	  5.080e-001 	
         0.137	  3.010e-003 	             	
         0.192	             	  5.080e-001 	
         0.201	  3.000e-003 	             	
         0.256	             	  5.080e-001 	
         0.297	  3.020e-003 	             	
         0.320	             	  5.080e-001 	
         0.361	  3.010e-003 	             	
         0.384	             	  5.080e-001 	
         0.425	  3.010e-003 	             	
         0.448	             	  5.080e-001 	
         0.489	  3.010e-003 	             	
         0.512	             	  5.080e-001 	
         0.553	  3.010e-003 	             	
         0.576	             	  5.080e-001 	
         0.617	  3.010e-003 	             	
         0.672	             	  5.080e-001 	
         0.681	  3.000e-003 	             	
         0.736	             	  5.080e-001 	
         0.745	  3.010e-003 	             	
         0.800	             	  5.080e-001 	
         0.809	  3.000e-003 	             	
         0.864	             	  5.080e-001 	
         0.873	  3.000e-003 	             	
         0.928	             	  5.080e-001 	
         0.937	  3.020e-003 	             	
         0.992	             	  5.080e-001 	
         1.001	  3.010e-003 	             	
         1.056	             	  5.080e-001 	
         1.097	  3.010e-003 	             	
         1.120	             	  5.080e-001 	
         1.161	  3.000e-003 	             	
         1.184	             	  5.080e-001 	
         1.225	  3.010e-003 	             	
         1.248	             	  5.080e-001 	
         1.289	  3.000e-003 	             	
         1.312	             	  5.080e-001 	
         1.353	  2.990e-003 	             	
         1.376	             	  5.080e-001 	
         1.417	  3.000e-003 	             	
         1.472	             	  5.080e-001 	
         1.481	  3.010e-003 	             	
         1.536	             	  5.080e-001 	
         1.545	  3.000e-003 	             	
         1.600	             	  5.080e-001 	
         1.609	  3.000e-003 	             	
         1.664	             	  5.080e-001 	
         1.673	  3.000e-003 	             	
         1.728	             	  5.080e-001 	
         1.737	  2.990e-003 	             	
         1.792	             	  5.080e-001 	
         1.801	  2.990e-003 	             	
         1.856	             	  5.080e-001 	
         1.897	  2.980e-003 	             	
         1.920	             	  5.080e-001 	
         1.961	  2.970e-003 	             	
         1.984	             	  5.080e-001 	
         2.025	  2.970e-003 	             	
         2.048	             	  5.080e-001 	
         2.089	  2.950e-003 	             	
         2.112	             	  5.080e-001 	
         2.153	  2.970e-003 	             	
         2.176	             	  5.080e-001 	
         2.217	  2.960e-003 	             	
         2.272	             	  5.080e-001 	
         2.281	  2.950e-003 	             	
         2.336	             	  5.080e-001 	
         2.345	  2.950e-003 	             	
